Bird_ID,Bird_Location,General_Location,Region,Latitude,Longitude,Sex,Date,Tarsus_length,Body_length_cm,Head_length,Head_width,Head_height,Culmen_length,Culmen_height,Culmen_width,Bill_tip_height,Bill_1cm_height,Bill_2cm_height,Bill_3cm_height,Bill_4cm_height,Bill_tip_width,Bill_1cm_width,Bill_2cm_width,Bill_3cm_width,Bill_4cm_width
MVZ-1155,"Prince William Sound, Alaska",AK,North,61.127151,-149.957214,Male,1908,65.90,30.3,69.34,32.41,39.00,66.50,17.72,11.89,5.35,7.48,10.12,11.20,11.80,2.20,2.35,4.00,4.75,5.82
CAL-74123,"Prince William Sound, Alaska",AK,North,61.127151,-149.957214,Male,07/05/1896,84.38,23.9,49.20,29.40,39.20,72.50,20.39,15.39,6.21,9.12,10.61,12.10,12.72,1.82,1.83,3.30,3.90,5.54
CAL-19474,"Wallrus Island, Bering Sea",AK,North,58.6800,-160.2969,Male,06/10/1915,89.89,31.7,86.10,28.62,39.90,73.10,17.83,13.90,5.72,7.43,10.20,10.88,12.19,1.61,2.39,3.59,4.80,6.10
MVZ-31950,"Sitka, Alaska",AK,North,57.052380,-135.334442,Male,07/21/1896,73.56,29.6,67.00,32.58,32.02,68.12,16.20,12.19,5.59,8.38,10.08,11.53,12.55,1.83,2.29,3.30,4.70,6.00
MVZ-31951,"Sitka, Alaska",AK,North,57.052380,-135.334442,Male,07/21/1896,70.50,27.8,70.73,32.14,30.90,70.55,15.92,13.29,5.27,7.19,9.44,11.22,12.80,1.56,2.27,4.50,4.45,5.71
MVZ-31952,"Sitka, Alaska",AK,North,57.052380,-135.334442,Male,07/28/1896,82.81,27.9,66.47,33.00,29.52,74.00,16.62,12.81,6.00,7.82,10.52,11.25,12.21,1.90,2.10,3.13,4.08,5.35
MVZ-31953,"Sitka, Alaska",AK,North,57.052380,-135.334442,Female,08/04/1896,77.49,25.4,56.96,32.00,30.50,57.11,16.21,12.83,3.82,6.83,8.60,10.00,9.65,1.00,2.32,3.40,4.27,6.05
CAL-414116,"Sitka Bay, Alaska",AK,North,57.052380,-135.334442,Female,06/30/1896,111.62,29.0,54.28,28.44,31.88,68.51,15.80,13.60,6.24,7.10,10.49,10.50,12.52,1.18,1.92,2.77,4.40,5.39
CAL-44117,"Sitka Bay, Alaska",AK,North,57.052380,-135.334442,Male,06/17/1896,103.89,29.7,66.63,30.35,32.30,67.51,15.72,14.14,5.32,7.30,9.11,10.62,11.90,1.57,1.62,3.19,4.10,5.60
CAL-31014,"Akutan Island, AK",AK,North,54.1155,-165.9393,Female,06/03/1925,90.23,29.4,63.71,35.58,41.60,80.30,19.19,14.98,5.67,8.09,10.47,11.93,13.18,1.48,2.06,3.21,4.25,5.80
CAL-31015,"Akutan Island, AK",AK,North,54.1155,-165.9393,Female,06/11/1925,73.66,26.8,58.00,34.41,48.58,69.19,17.60,14.10,5.40,8.01,10.03,11.52,12.04,1.61,2.39,3.70,4.80,5.88
MVZ-184484,"Amchitka Island, Alaska",AK,North,51.505122,-179.030288,Female,12/26/1970,80.10,32.3,70.92,28.82,34.08,76.65,15.70,13.62,5.40,9.16,11.05,12.29,12.82,2.48,3.68,4.70,5.50,6.51
CAL-11561,"Los Coronados Island, Mexico",BAJA,South,32.4175,-117.2600,Female,04/06/1908,115.93,29.2,63.00,37.48,38.04,82.09,19.20,15.05,6.41,9.03,10.62,12.00,13.00,1.50,1.73,2.48,3.99,4.99
CAL-11562,"Los Coronados Island, Mexico",BAJA,South,32.4175,-117.2600,Male,04/06/1908,121.38,30.2,75.30,39.40,44.51,66.05,18.00,15.02,6.61,8.55,10.96,12.00,12.79,1.69,2.21,3.18,4.75,6.30
CAL-74126,"Los Coronados Island, Mexico",BAJA,South,32.4175,-117.2600,Female,06/24/1908,109.32,26.1,88.35,33.41,31.52,72.20,14.70,13.32,5.62,7.84,10.36,11.56,12.70,1.70,2.05,3.00,4.00,4.85
CAL-74136,"Los Coronados Island, Mexico",BAJA,South,32.4175,-117.2600,Male,08/19/1910,113.20,28.4,49.69,33.65,39.15,70.00,17.86,13.23,5.42,6.61,9.68,11.12,11.98,1.60,1.68,2.67,3.55,4.85
MVZ-59155,"W. San Benito Island, California",BAJA,South,28.303760,-115.592482,Male,02/21/1930,66.67,27.5,54.10,30.17,43.81,69.90,18.41,14.96,5.81,7.95,9.73,10.66,11.94,1.43,2.41,3.92,4.34,5.57
MVZ-100472,"Port Simpson, Green Island, British Columbia ",BC,North,54.554580,-130.430605,Male,08/15/1934,69.72,28.3,54.87,36.99,39.00,64.50,15.55,11.55,5.06,7.34,9.00,10.52,11.73,1.19,1.59,2.55,3.70,5.00
MVZ-100471,British Columbia ,BC,North,53.726669,-127.647621,Male,08/08/1924,76.75,28.8,56.50,35.63,37.12,68.10,15.69,13.53,4.51,6.76,8.30,10.26,12.00,1.30,2.13,3.28,4.09,5.50
MVZ-100473,"Green Island, British Columbia",BC,North,51.645505,-127.833494,Male,08/17/1934,74.10,28.2,50.32,37.51,37.89,61.89,16.00,12.37,4.12,6.59,8.60,10.11,11.99,1.91,2.19,3.35,4.08,5.61
MVZ-81944,"Alert Bay, British Columbia ",BC,North,50.5845,-126.9254,Female,04/11/1926,83.36,29.5,58.55,33.23,36.02,78.44,16.01,13.41,6.00,8.80,10.60,12.00,12.61,1.32,2.18,3.50,4.41,5.19
MVZ-81945,"Alert Bay, British Columbia ",BC,North,50.5845,-126.9254,Male,04/11/1926,81.70,28.2,59.93,38.08,34.06,65.90,16.91,13.72,6.09,8.79,10.20,11.26,12.28,1.71,2.41,4.10,4.93,5.63
MVZ-100474,"Queen Charlotte Island, British Columbia",BC,North,49.285503,-123.136350,Female,05/24/1920,73.55,26.9,56.08,34.50,40.68,72.12,16.17,14.55,5.67,7.28,10.44,11.89,12.54,1.21,2.40,3.45,5.10,5.59
CAL-74137,"Castle Rock, Del Norte Co. ",CA,South,41.7616129,-124.2494058,Male,06/24/1938,83.60,30.4,49.59,34.25,31.20,67.68,13.72,13.97,5.95,7.25,9.50,11.82,12.88,1.27,1.82,3.22,4.50,5.80
